CustomerID,Recency_Asli,Frequency_Asli,Monetary_Asli,Cluster_KMeans,Cluster_Hierarchical,Cluster_DBSCAN,Segmen_KMeans,Segmen_Hierarchical,Segmen_DBSCAN,Recency_scaled,Frequency_scaled,Monetary_scaled
12371,45,2,1887.96,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,-0.0015614215275583125,-0.36158277709840037,0.7591391838068907
12372,72,3,1298.04,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.34305147915390505,0.05960546552681911,0.4615924883019555
12373,311,1,364.6,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.4269530713337628,-0.9552142636712971,-0.5459956561227385
12374,25,1,742.9300000000001,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-0.4273072773233673,-0.9552142636712971,0.018584440054331564
12375,11,2,457.5,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,-1.0042687305257638,-0.36158277709840037,-0.36605308549283017
12377,315,2,1628.12,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,1.4364590503135464,-0.36158277709840037,0.6415302981032269
12378,130,1,4008.62,0,0,-1,Lost / Churned,At-Risk Champions,Noise/Outlier,0.7793883005555002,-0.9552142636712971,1.3573068152479633
12379,82,2,852.24,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.4388506943278125,-0.36158277709840037,0.12753675761506858
12380,22,4,2724.81,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.5187942651860693,0.3863044476016776,1.0505969435878144
12381,5,5,1845.31,1,1,0,Champions,Champions,At-Risk Champions,-1.5215015741842748,0.6532369520997158,0.7409897043614747
12383,185,5,1850.56,1,0,0,Champions,At-Risk Champions,At-Risk Champions,1.0409714714796316,0.6532369520997158,0.7432463128566629
12384,29,2,585.27,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,-0.3205241028950956,-0.36158277709840037,-0.17069304640498711
12386,338,2,401.9,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,1.4888861411471739,-0.36158277709840037,-0.46878902515136045
12388,16,6,2780.66,1,1,0,Champions,Champions,At-Risk Champions,-0.7443590504544844,0.8789251688960832,1.0667157985581097
12390,80,1,549.84,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.4206495661775393,-0.9552142636712971,-0.2202332213213198
12391,22,1,439.66,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-0.5187942651860693,-0.9552142636712971,-0.3975931902430841
12393,72,4,1582.6000000000001,1,0,0,Champions,At-Risk Champions,At-Risk Champions,0.34305147915390505,0.3863044476016776,0.6190083110941045
12394,64,2,1272.48,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.25643735030730064,-0.36158277709840037,0.4457994879794345
12395,19,12,3018.63,1,1,0,Champions,Champions,At-Risk Champions,-0.6230859205766931,1.7852452398084835,1.1319521501528023
12397,36,2,2409.9,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.16402870097223204,-0.36158277709840037,0.9530318109955533
12398,46,1,1635.6599999999999,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.014486707924192927,-0.9552142636712971,0.6452000225524819
12399,119,4,1108.65,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.713941584421926,0.3863044476016776,0.33635862211874146
12401,303,1,84.3,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.4075699228848029,-0.9552142636712971,-1.7026146194252803
12402,323,1,225.6,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.4551152534945606,-0.9552142636712971,-0.9261563528849276
12403,50,1,427.7,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.07543561088562381,-0.9552142636712971,-0.4194610957779969
12405,149,1,1710.39,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.8804533683940834,-0.9552142636712971,0.6806832771815868
12406,22,2,3415.3,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.5187942651860693,-0.36158277709840037,1.2300404335158148
12407,50,5,1708.1200000000001,1,0,0,Champions,At-Risk Champions,At-Risk Champions,0.07543561088562381,0.6532369520997158,0.6796284451256502
12408,33,5,2888.55,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.22712620679597337,0.6532369520997158,1.096957493494028
12409,79,3,11072.67,1,0,-1,Champions,At-Risk Champions,Noise/Outlier,0.4113797667403285,0.05960546552681911,2.1646496650049794
12410,309,2,693.3299999999999,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,1.4221542814287025,-0.36158277709840037,-0.0362514369336403
12412,75,3,1226.88,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.37310423556778083,0.05960546552681911,0.41682037938188105
12413,67,3,758.1,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.2901066368625376,0.05960546552681911,0.03462726859925713
12414,217,3,562.41,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,1.159430989184945,0.05960546552681911,-0.20230160977548928
12415,24,21,124914.53,1,1,-1,Champions,Champions,Noise/Outlier,-0.45657413660453583,2.555485194733606,4.0903281810701175
12417,3,9,3649.1,1,1,0,Champions,Champions,At-Risk Champions,-1.8240633918658722,1.4011241767997944,1.282648592090624
12418,113,1,668.58,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.6756660532493783,-0.9552142636712971,-0.06509742563052866
12420,64,1,600.39,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.25643735030730064,-0.9552142636712971,-0.15045673337457524
12421,16,4,807.04,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.7443590504544844,0.3863044476016776,0.08428028907772168
12422,96,3,803.5600000000001,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.5551626080798789,0.05960546552681911,0.08085023058987141
12423,1,8,1859.31,1,1,0,Champions,Champions,At-Risk Champions,-2.341296235524383,1.2468684386726128,0.7469931460818864
12424,163,2,1760.96,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.947038466531095,-0.36158277709840037,0.703826474488546
12425,78,1,777.2,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.4019933629965244,-0.9552142636712971,0.054376279570110334
12426,195,1,582.73,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.0800489471232713,-0.9552142636712971,-0.17414366374183038
12427,22,3,825.8,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.5187942651860693,0.05960546552681911,0.10252029207088717
12428,26,9,7956.46,1,1,0,Champions,Champions,At-Risk Champions,-0.3991450951625692,1.4011241767997944,1.9020237095844112
12429,9,4,3750.4,1,1,0,Champions,Champions,At-Risk Champions,-1.1403187642352037,0.3863044476016776,1.3044038924668246
12430,43,1,256.4,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-0.034731738315937795,-0.9552142636712971,-0.824872343048851
12431,36,15,6419.95,1,1,0,Champions,Champions,At-Risk Champions,-0.16402870097223204,2.0892449239230517,1.7315198641151124
12432,43,5,5059.32,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.034731738315937795,0.6532369520997158,1.542266339201556
12433,1,7,13375.87,1,1,-1,Champions,Champions,Noise/Outlier,-2.341296235524383,1.0744251947249353,2.314818900989401
12434,85,2,806.14,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.4653461139941349,-0.36158277709840037,0.08339462324872753
12435,80,2,7829.89,1,0,-1,Champions,At-Risk Champions,Noise/Outlier,0.4206495661775393,-0.36158277709840037,1.8892812988039345
12436,100,1,509.01,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.5853165797205673,-0.9552142636712971,-0.28143841038472645
12437,2,18,4951.41,1,1,0,Champions,Champions,At-Risk Champions,-2.0387344178427855,2.3408466559766334,1.5251356725027356
12438,14,2,2906.85,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.8377569465536066,-0.36158277709840037,1.1019747641411675
12441,367,1,173.55,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.5501371094479746,-0.9552142636712971,-1.1335604660393386
12442,3,1,172.06,0,1,1,Lost / Churned,Champions,Lost / Churned,-1.8240633918658722,-0.9552142636712971,-1.1403735686438803
12444,21,5,5005.46,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.5519645819744484,0.6532369520997158,1.5337622427285058
12445,22,1,133.4,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-0.5187942651860693,-0.9552142636712971,-1.341294939821097
12446,58,1,1002.3100000000001,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.1841671134665053,-0.9552142636712971,0.2562976765671253
12447,243,1,476.49,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.2435087462334857,-0.9552142636712971,-0.3338007165602957
12448,44,1,449.45,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-0.01796228521349842,-0.9552142636712971,-0.38013026032233777
12449,22,4,4067.29,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.5187942651860693,0.3863044476016776,1.3688512580843062
12450,156,2,197.88,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.9144883541766984,-0.36158277709840037,-1.0298561550665053
12451,11,5,9035.52,1,1,0,Champions,Champions,At-Risk Champions,-1.0042687305257638,0.6532369520997158,2.0030846747729223
12452,17,2,430.57,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,-0.7017069128441668,-0.36158277709840037,-0.4141583965705841
12453,134,1,707.09,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.8018323761266101,-0.9552142636712971,-0.02065582080563854
12454,56,1,3528.34,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.1584332095908674,-0.9552142636712971,1.2559110329094345
12455,73,6,2466.86,1,0,0,Champions,At-Risk Champions,At-Risk Champions,0.35320414268627925,0.8789251688960832,0.9715896978597152
12456,44,3,3181.04,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.01796228521349842,0.05960546552681911,1.1735864904737519
12457,66,7,2363.23,1,0,0,Champions,At-Risk Champions,At-Risk Champions,0.27905148268373375,1.0744251947249353,0.9374966881043064
12458,71,2,947.4,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.33275877447285523,-0.36158277709840037,0.21156766138697686
12461,94,2,826.88,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.5396160195399382,-0.36158277709840037,0.10355772030263803
12462,19,2,1189.59,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.6230859205766931,-0.36158277709840037,0.3923108844568049
12463,53,4,1344.78,1,0,0,Champions,At-Risk Champions,At-Risk Champions,0.11808774849594178,0.3863044476016776,0.48968470876985565
12464,10,8,1212.05,1,1,0,Champions,Champions,At-Risk Champions,-1.0691974256329595,1.2468684386726128,0.4071634416183126
12465,17,2,742.1899999999999,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,-0.7017069128441668,-0.36158277709840037,0.017793517420326446
12468,188,2,729.5400000000001,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,1.0529110743320027,-0.36158277709840037,0.004149837242437287
12471,2,30,19788.65,1,1,0,Champions,Champions,At-Risk Champions,-2.0387344178427855,3.057582165231702,2.626059622148486
12472,32,7,6572.11,1,1,0,Champions,Champions,At-Risk Champions,-0.24940276429285124,1.0744251947249353,1.750133179943818
12473,29,5,3928.0499999999997,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.3205241028950956,0.6532369520997158,1.341174793859282
12474,17,18,7324.09,1,1,0,Champions,Champions,At-Risk Champions,-0.7017069128441668,2.3408466559766334,1.836216762355455
12475,54,1,723.38,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.13178004565621987,-0.9552142636712971,-0.002579812423107797
12476,16,11,6816.42,1,1,0,Champions,Champions,At-Risk Champions,-0.7443590504544844,1.6680566812978321,1.779135980489325
12477,23,6,13219.74,1,1,0,Champions,Champions,At-Risk Champions,-0.4870358868672529,0.8789251688960832,2.3054885711428414
12478,4,1,680.99,0,1,1,Lost / Churned,Champions,Lost / Churned,-1.6575516078937147,-0.9552142636712971,-0.05050277490232966
12479,11,1,527.2,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-1.0042687305257638,-0.9552142636712971,-0.25358744852679016
12480,28,4,3281.63,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.3458217546340572,0.3863044476016776,1.1983203428022826
12481,23,10,5579.82,1,1,0,Champions,Champions,At-Risk Champions,-0.4870358868672529,1.5406654655354899,1.6200749317678933
12483,17,8,2484.98,1,1,0,Champions,Champions,At-Risk Champions,-0.7017069128441668,1.2468684386726128,0.9774035825976239
12484,33,6,4527.32,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.22712620679597337,0.8789251688960832,1.4539890263303534
12488,10,3,1298.66,1,1,0,Champions,Champions,At-Risk Champions,-1.0691974256329595,0.05960546552681911,0.46197170182321007
12489,336,1,334.93,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.4844706888644472,-0.9552142636712971,-0.6132590391071987
12490,5,10,5417.93,1,1,0,Champions,Champions,At-Risk Champions,-1.5215015741842748,1.5406654655354899,1.5966802667319833
12491,39,1,460.40000000000003,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-0.10585307691818215,-0.9552142636712971,-0.3610422853558438
12492,63,2,263.21000000000004,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.24486798276817118,-0.36158277709840037,-0.8041196652574278
12493,166,2,433.74,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.9605652887470136,-0.36158277709840037,-0.4083422393749577
12494,16,7,1246.1000000000001,1,1,0,Champions,Champions,At-Risk Champions,-0.7443590504544844,1.0744251947249353,0.42916388965564545
12497,82,1,1043.1,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.4388506943278125,-0.9552142636712971,0.28796815450009433
12498,21,3,403.70000000000005,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,-0.5519645819744484,0.05960546552681911,-0.4652464002023886
12500,23,11,4257.82,1,1,0,Champions,Champions,At-Risk Champions,-0.4870358868672529,1.6680566812978321,1.4052254315823198
12501,337,1,2169.39,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.4866816808776484,-0.9552142636712971,0.8695113126471109
12502,96,5,3723.87,1,0,0,Champions,At-Risk Champions,At-Risk Champions,0.5551626080798789,0.6532369520997158,1.2987635904614807
12504,18,2,482.04999999999995,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,-0.6613614517492411,-0.36158277709840037,-0.3246001949456834
12506,233,1,73.5,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.2122820453568492,-0.9552142636712971,-1.810201122731829
12507,134,3,1304.81,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.8018323761266101,0.05960546552681911,0.4657234882530985
12508,26,2,397.88,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,-0.3991450951625692,-0.36158277709840037,-0.4767583721359144
12509,284,1,176.5,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.3594106808800466,-0.9552142636712971,-1.1202413287571895
12510,143,2,982.5699999999999,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.8499916181313663,-0.36158277709840037,0.2405056428333804
12512,66,2,132.18,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.27905148268373375,-0.36158277709840037,-1.3485419263415328
12513,113,1,612.29,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.6756660532493783,-0.9552142636712971,-0.13488463142950793
12514,267,1,1017.68,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.3135171700007557,-0.9552142636712971,0.26838002878554745
12515,353,1,383.7,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.5211946184651242,-0.9552142636712971,-0.5055249741905248
12516,78,2,1312.06,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.4019933629965244,-0.36158277709840037,0.4701236986026794
12517,28,5,2481.6,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.3458217546340572,0.6532369520997158,0.9763223161089502
12518,1,5,2056.89,1,1,0,Champions,Champions,At-Risk Champions,-2.341296235524383,0.6532369520997158,0.8272113914603249
12519,64,1,330.84,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.25643735030730064,-0.9552142636712971,-0.6229943561056606
12520,79,5,2634.26,1,0,0,Champions,At-Risk Champions,At-Risk Champions,0.4113797667403285,0.6532369520997158,1.0237480407356359
12521,143,1,599.68,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.8499916181313663,-0.9552142636712971,-0.15139554163763796
12522,39,2,192.72,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,-0.10585307691818215,-0.36158277709840037,-1.0507478020194507
12523,19,11,1789.77,1,1,0,Champions,Champions,At-Risk Champions,-0.6230859205766931,1.6680566812978321,0.7167160566116625
12524,9,8,4485.72,1,1,0,Champions,Champions,At-Risk Champions,-1.1403187642352037,1.2468684386726128,1.4466544164687745
12526,1,3,1316.66,1,1,0,Champions,Champions,At-Risk Champions,-2.341296235524383,0.05960546552681911,0.47290297609677723
12527,82,3,348.71000000000004,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.4388506943278125,0.05960546552681911,-0.5813098515196922
12528,9,6,1933.48,1,1,0,Champions,Champions,At-Risk Champions,-1.1403187642352037,0.8789251688960832,0.7780633501700918
12530,60,4,1662.28,1,0,0,Champions,At-Risk Champions,At-Risk Champions,0.20904305891646366,0.3863044476016776,0.6580221382422843
12531,15,1,125.22,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-0.7895977045488505,-0.9552142636712971,-1.3911990709265596
12532,30,1,349.83000000000004,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-0.2960560335189878,-0.9552142636712971,-0.5787686815318117
12534,131,1,1089.18,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.7850629230241704,-0.9552142636712971,0.3222904901240402
12535,92,2,716.35,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.5237386278211207,-0.36158277709840037,-0.0103301941710965
12536,43,3,12601.830000000002,1,0,-1,Champions,At-Risk Champions,Noise/Outlier,-0.034731738315937795,0.05960546552681911,2.2674486058847627
12538,29,1,363.95,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-0.3205241028950956,-0.9552142636712971,-0.547409859236099
12539,22,4,5568.35,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.5187942651860693,0.3863044476016776,1.6184398843765204
12540,20,17,13400.24,1,1,0,Champions,Champions,At-Risk Champions,-0.5866782483482139,2.2616881678707283,2.3162654194838854
12541,30,3,981.18,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.2960560335189878,0.05960546552681911,0.23938172425244802
12544,36,1,372.7,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-0.16402870097223204,-0.9552142636712971,-0.5285803964636581
12545,75,2,1000.39,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.37310423556778083,-0.36158277709840037,0.25477537661412947
12546,47,2,1161.5,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.03019695679125805,-0.36158277709840037,0.3733358709085387
12547,198,2,207.79999999999998,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,1.0913839892534942,-0.36158277709840037,-0.9911726102951607
12548,166,1,95.19999999999999,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.9605652887470136,-0.9552142636712971,-1.6070447351427024
12550,79,1,964.83,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.4113797667403285,-0.9552142636712971,0.22604082709719206
12551,358,1,168.0,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.531660558029954,-0.9552142636712971,-1.159240114724307
12552,39,2,437.82,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,-0.10585307691818215,-0.36158277709840037,-0.40091856619492006
12553,8,10,3692.28,1,1,0,Champions,Champions,At-Risk Champions,-1.2189397565026774,1.5406654655354899,1.291994896113586
12556,50,2,599.56,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,0.07543561088562381,-0.36158277709840037,-0.15155432307352995
12557,16,5,11990.960000000001,1,1,0,Champions,Champions,At-Risk Champions,-0.7443590504544844,0.6532369520997158,2.2279625941682597
12558,8,1,269.96,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-1.2189397565026774,-0.9552142636712971,-0.7840710996218231
12559,311,2,561.71,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,1.4269530713337628,-0.36158277709840037,-0.20328962056465663
12560,5,3,2134.01,1,1,0,Champions,Champions,At-Risk Champions,-1.5215015741842748,0.05960546552681911,0.8564495327563486
12561,303,1,238.85,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.4075699228848029,-0.9552142636712971,-0.8809940690560476
12562,8,7,3781.7400000000002,1,1,0,Champions,Champions,At-Risk Champions,-1.2189397565026774,1.0744251947249353,1.3110156371382093
12564,261,1,456.9,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.2966211442140112,-0.9552142636712971,-0.3670937589905986
12565,289,1,145.92,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.3723885603136328,-0.9552142636712971,-1.2705103112322118
12566,86,1,351.65,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.473972906706051,-0.9552142636712971,-0.5746565323203142
12567,23,10,9401.28,1,1,0,Champions,Champions,At-Risk Champions,-0.4870358868672529,1.5406654655354899,2.0346179288591157
12569,2,32,4124.69,1,1,0,Champions,Champions,At-Risk Champions,-2.0387344178427855,3.1491166813065026,1.3799858001337555
12571,40,2,519.61,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,-0.0874272207859269,-0.36158277709840037,-0.26509017521595885
12572,9,2,1020.42,1,1,0,Champions,Champions,At-Risk Champions,-1.1403187642352037,-0.36158277709840037,0.27051478177771376
12573,227,1,160.54000000000002,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.1928988969078893,-0.9552142636712971,-1.1951188249098859
12574,316,1,218.45,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.438816743455106,-0.9552142636712971,-0.9516368538389013
12576,36,5,1315.83,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.16402870097223204,0.6532369520997158,0.47240221588413145
12577,35,3,626.6,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,-0.18447406918565573,0.05960546552681911,-0.1165541502686782
12578,21,2,2794.51,1,0,0,Champions,At-Risk Champions,At-Risk Champions,-0.5519645819744484,-0.36158277709840037,1.0706629614240328
12579,78,1,440.42,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,0.4019933629965244,-0.9552142636712971,-0.39622371562488334
12580,247,1,415.7,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.2556424974565452,-0.9552142636712971,-0.4420240745904618
12581,40,1,197.71,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-0.0874272207859269,-0.9552142636712971,-1.0305357681921872
12582,239,2,511.36,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,1.231174428080437,-0.36158277709840037,-0.2777849130678025
12583,3,15,7281.38,1,1,0,Champions,Champions,At-Risk Champions,-1.8240633918658722,2.0892449239230517,1.8315694263990614
12584,4,9,2338.15,1,1,0,Champions,Champions,At-Risk Champions,-1.6575516078937147,1.4011241767997944,0.9290210999918391
12585,234,2,2040.1,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,1.2154641792133722,-0.36158277709840037,0.8207007387623079
12586,17,1,196.94000000000003,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-0.7017069128441668,-0.9552142636712971,-1.033621314544512
12587,8,1,144.0,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-1.2189397565026774,-0.9552142636712971,-1.28096453769461
12588,39,1,214.89999999999998,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,-0.10585307691818215,-0.9552142636712971,-0.964598127888495
12589,29,2,646.68,0,0,0,Lost / Churned,At-Risk Champions,At-Risk Champions,-0.3205241028950956,-0.36158277709840037,-0.09152521835471276
12590,211,2,9864.26,1,0,-1,Champions,At-Risk Champions,Noise/Outlier,1.1386051930976016,-0.36158277709840037,2.072818321901469
12591,317,1,452.84999999999997,0,0,1,Lost / Churned,At-Risk Champions,Lost / Churned,1.4411670107791992,-0.9552142636712971,-0.37415417629227116
